"","IterYear","AgeInYears","cohortsize"
"10584",2038,56,3548997.7444984
"10585",2038,57,3469697.38551774
"10586",2038,58,3388216.38183625
"10587",2038,59,3306234.74234957
"10588",2038,60,3281853.78990695
"10589",2038,61,3132879.36554975
"10590",2038,62,3046108.89117736
"10591",2038,63,2959416.00632962
"10592",2038,64,2873375.31225957
"10593",2038,65,2790229.60162142
"10594",2038,66,2758871.18850602
"10595",2038,67,2627360.82957996
"10596",2038,68,2553341.80320894
"10597",2038,69,2484925.35754705
"10598",2038,70,2423344.63997045
"10599",2038,71,2411007.72434857
"10600",2038,72,2313323.46013187
"10601",2038,73,2266021.13500531
"10602",2038,74,2222064.11318192
"10603",2038,75,2179942.87195088
"10604",2038,76,2139448.16137692
"10605",2038,77,2138495.9750925
"10606",2038,78,2057285.64253971
"10607",2038,79,2017124.53131921
"10608",2038,80,1977373.51236999
"10609",2038,81,1938370.1190296
"10610",2038,82,1937387.93417164
"10611",2038,83,1864091.33657688
"10612",2038,84,1829014.84953612
"10613",2038,85,1795330.34766581
"10614",2038,86,1763076.22756889
"10615",2038,87,1593722.96820839
"10616",2038,88,1248576.11006611
"10617",2038,89,1247931.83223285
"10618",2038,90,1247283.03203126
"10619",2038,91,1246640.76728365
"10620",2038,92,1143684.15008751
"10621",2038,93,999799.91517231
"10622",2038,94,999146.750660164
"10623",2038,95,998489.213572465
"10624",2038,96,997832.30304402
"10625",2038,97,940369.644653431
"10626",2038,98,860246.337751205
"10627",2038,99,859681.401210106
"10628",2038,100,859109.10270242
"10629",2038,101,858538.167494316
"10630",2038,102,810858.497256133
"10631",2038,103,744394.635554494
"10632",2038,104,743898.471853168
"10633",2038,105,743400.374769579
"10634",2038,106,742902.295895735
"10635",2038,107,701983.028267368
"10636",2038,108,644946.909595415
"10637",2038,109,644526.412675587
"10638",2038,110,644107.880422219
"10639",2038,111,643689.158980759
"10640",2038,112,607904.942524723
"10641",2038,113,558013.854368027
"10642",2038,114,557651.086595425
"10643",2038,115,557288.803795098
"10644",2038,116,556926.676278369
"10645",2038,117,523483.034821531
"10646",2038,118,476844.235785303
